"","metapop.initab","Gen.Abar","Gen.Mu1","Gen.Tgen","EigenVal","dd.type","Rmax","GrowthRt","fec.stdev.avg","surv.stdev.avg","stdev.avg","fec.cv.avg","surv.cv.avg","cv.avg","N.maxVmin.10","N.plusVmin.SD","N.CV.10","St.First.Rep","St.First.Rep.Name","ext.risk","threshold","prob.thresh.maxt","med.time.cross","prob.50","prob.250","prob.1000","prob.Thr.50","exp.min.n","sderr.ema","n.mean","n.stdev","metapop.chng","occ.maxt","occ.stdev.maxt","quant.05","quant.25","quant.50","quant.75","quant.95","harv.avg","harv.stdev","harv.min","harv.max","use.disp.dist.func","avg.disp.dist.b","max.disp.dist.Dmax","mean.t0.disp.rate","loquart.t0.disp.rate","hiquart.t0.disp.rate","mean.t0.Ngt0.disp.rate","loquart.t0.Ngt0.disp.rate","hiquart.t0.Ngt0.disp.rate","mean.t0.nearest.disp.rate","loquart.t0.nearest.disp.rate","hiquart.t0.nearest.disp.rate","mean.t0.Ngt0.nearest.disp.rate","loquart.t0.Ngt0.nearest.disp.rate","hiquart.t0.Ngt0.nearest.disp.rate","use.corr.dist.func","avg.corr.dist.b","kch.type","ad.surv","fecund"
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl100.mp",581,2.42,2.8,2.6,1.0952,"CE",1.09827594512635,1.0952,0.1579365,0.07740999,0.12437090613172,0.349480436716396,0.120338031610929,0.234909234163662,2.23758865248227,1.25642429694528,0.113641879008494,3,"M-Juvenile",0,0,0,91,0,0.055,1,0.131,366.936,2.11698169938134,572.324,70.6942480029366,-0.0149328743545612,2.96,0.1961,418.95,542,604,622,629,0,0,0,0,FALSE,100,1250,0.0552966666666667,0.00968,0.08166,0.00968,0.006125,0.013235,0.0340666666666667,0.00549,0.05011,0.00549,0.003735,0.007245,TRUE,1304.79504,"ME.KCH",0.6432712,0.451918
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl101.mp",524,2.73,3.58,3.1,1.1377,"CE",1.0199918505318,1.1377,0.2156971,0.1252732,0.17637830590332,0.516823217247416,0.173901503493975,0.345362360370695,6.12621359223301,1.42770810319059,0.17617773019272,3,"M-Juvenile",0,0,0,91,0.004,0.34,1,0.393,283.204,2.76398987408131,557.26,105.767827023312,0.0634732824427481,2.973,0.1622,321.8,525.75,609.5,627,630,0,0,0,0,FALSE,100,1250,0.045,0.01031,0.06625,0.01031,0.006405,0.014215,0.0319066666666667,0.00534,0.047055,0.00534,0.003475,0.007205,TRUE,2757.7041,"ME.KCH",0.7203687,0.4173518
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl102.mp",564,2.77,3.19,2.97,1.0747,"CE",1.19862884485994,1.0747,0.1608839,0.04834016,0.118786363586136,0.4142649640192,0.0704294887905444,0.242347226404872,2.45631067961165,1.28496322321361,0.124712389380531,3,"M-Juvenile",0,0,0,91,0,0.268,1,0.436,283.508,1.81655272420037,439.733,70.1139478041044,-0.220331560283688,2.945,0.2324,295,409.75,462,494,503,0,0,0,0,FALSE,100,1250,0.03921,0.015975,0.05676,0.015975,0.0100425,0.0219075,0.02345,0.011185,0.03367,0.011185,0.0070975,0.0152725,TRUE,2163.96997,"LO.KCH",0.6863625,0.3883599
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl103.mp",578,2.59,2.8,2.69,1.0482,"CE",1.05802169383245,1.0482,0.1678081,0.1109722,0.142257491188426,0.41456710586095,0.172465229448651,0.2935161676548,9.34567901234568,1.78450600637411,0.281739742912485,3,"M-Juvenile",0.007,0,0.007,91,0.062,0.649,1,0.764,207.411,3.22790883924476,466.168,211.95911974823,-0.193480968858131,2.664,0.6257,86.8,298.75,490.5,657,746.05,0,0,0,0,FALSE,100,1250,0.0451466666666667,0.009635,0.06687,0.009635,0.0056675,0.0136025,0.02871,0.006995,0.042595,0.006995,0.0039675,0.0100225,TRUE,1332.052,"HI.KCH",0.6434468,0.4047791
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl104.mp",617,3.86,4.01,3.94,1.013,"CE",1.20707850096679,1.013,0.2008281,0.1333125,0.1704466902082,0.765690357425948,0.177581605283097,0.471635981354522,58.1538461538462,2.4132539091586,0.414048865619546,3,"M-Juvenile",0.149,0,0.149,91,0.564,0.976,1,0.991,62.975,2.21693598919323,149.23,186.683319452386,-0.758136142625608,1.899,1.071,0,12.75,68,217.5,608.05,0,0,0,0,FALSE,100,1250,0.0452366666666667,0.006665,0.066275,0.006665,0.0049125,0.0084175,0.0250266666666667,0.00373,0.03651,0.00373,0.002895,0.004565,TRUE,645.9502,"HI.KCH",0.7507112,0.2622837
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl105.mp",426,2.79,3.86,3.25,1.1556,"CE",1.24242108074377,1.1556,0.1701936,0.1449324,0.158068437789965,0.41040292376057,0.195604458784665,0.303003691272618,8.65753424657534,1.44312200571465,0.181375307773479,3,"M-Juvenile",0,0,0,91,0.003,0.314,1,0.201,292.933,2.91484559382411,573.86,92.43618798311,0.347089201877934,2.981,0.1366,368.9,555,619.5,628,630,0,0,0,0,FALSE,100,1250,0.0419066666666667,0.0135,0.062015,0.0135,0.007595,0.019405,0.02295,0.009335,0.033905,0.009335,0.0051875,0.0134825,TRUE,1806.99304,"ME.KCH",0.7409463,0.4146988
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl106.mp",555,2.94,2.85,2.9,0.9847,"CE",1.17204062795625,0.9847,0.1741127,0.09117384,0.138974640495372,0.519495162722004,0.140366155953671,0.329930659337838,10.1774193548387,2.24693042291951,0.384033613445378,3,"M-Juvenile",0.442,0,0.442,91,0.872,0.999,1,1,19.654,1.08055813813505,39.825,76.9430478185496,-0.928243243243243,0.917,0.9824,0,0,5,42.25,216.05,0,0,0,0,FALSE,100,1250,0.0479166666666667,0.010465,0.07036,0.010465,0.0067475,0.0141825,0.03147,0.00581,0.045985,0.00581,0.004125,0.007495,TRUE,1002.84698,"ME.KCH",0.6495429,0.3351575
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl107.mp",474,2.47,3.11,2.76,1.1416,"CE",1.06847734231643,1.1416,0.1395101,0.1062272,0.12399049564755,0.301510794709787,0.156481637928507,0.228996216319147,2.5049504950495,1.21398255678373,0.0966505161154414,3,"M-Juvenile",0,0,0,91,0,0.133,1,0.096,316.825,1.80283071129088,474.472,47.8980525641642,0.000995780590717257,2.972,0.1651,378,466.75,496,501,504,0,0,0,0,FALSE,100,1250,0.0457533333333333,0.014345,0.067265,0.014345,0.0085375,0.0201525,0.0306966666666667,0.009125,0.045275,0.009125,0.0053325,0.0129175,TRUE,2892.896,"LO.KCH",0.6788477,0.4627035
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl108.mp",496,2.95,3.28,3.11,1.0513,"CE",1.03417613708698,1.0513,0.1543046,0.03030991,0.111194874489268,0.433248576752063,0.0435998947615384,0.238424235756801,4.7375,1.56991075223119,0.221762857615346,3,"M-Juvenile",0,0,0,91,0.001,0.113,1,0.107,359.09,2.79868478691984,623.207,133.756551114201,0.256465725806452,2.984,0.1333,343.8,551.5,662,735,755,0,0,0,0,FALSE,100,1250,0.0463866666666667,0.012385,0.06768,0.012385,0.0080925,0.0166775,0.0273733333333333,0.008125,0.040105,0.008125,0.0050175,0.0112325,TRUE,2992.11694,"HI.KCH",0.6951831,0.3561572
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_NoCC_Ceiling/snpl109.mp",489,2.94,4.09,3.44,1.1441,"CE",1.14727185724339,1.1441,0.1367548,0.105999,0.122347176763585,0.351749981545027,0.140338013915043,0.246043997730035,2.68617021276596,1.20411763340529,0.0926074136478517,3,"M-Juvenile",0,0,0,91,0,0.116,1,0.105,324.933,1.79400919172115,479.594,41.0319971338075,-0.0192351738241309,2.939,0.2395,393.95,477,496,501,504,0,0,0,0,FALSE,100,1250,0.04653,0.00942,0.069,0.00942,0.005505,0.013335,0.0250066666666667,0.0054,0.037025,0.0054,0.003185,0.007615,TRUE,736.56281,"LO.KCH",0.7553121,0.3887841
