"","metapop.initab","Gen.Abar","Gen.Mu1","Gen.Tgen","EigenVal","dd.type","Rmax","GrowthRt","fec.stdev.avg","surv.stdev.avg","stdev.avg","fec.cv.avg","surv.cv.avg","cv.avg","N.maxVmin.10","N.plusVmin.SD","N.CV.10","St.First.Rep","St.First.Rep.Name","ext.risk","threshold","prob.thresh.maxt","med.time.cross","prob.50","prob.250","prob.1000","prob.Thr.50","exp.min.n","sderr.ema","n.mean","n.stdev","metapop.chng","occ.maxt","occ.stdev.maxt","quant.05","quant.25","quant.50","quant.75","quant.95","harv.avg","harv.stdev","harv.min","harv.max","use.disp.dist.func","avg.disp.dist.b","max.disp.dist.Dmax","mean.t0.disp.rate","loquart.t0.disp.rate","hiquart.t0.disp.rate","mean.t0.Ngt0.disp.rate","loquart.t0.Ngt0.disp.rate","hiquart.t0.Ngt0.disp.rate","mean.t0.nearest.disp.rate","loquart.t0.nearest.disp.rate","hiquart.t0.nearest.disp.rate","mean.t0.Ngt0.nearest.disp.rate","loquart.t0.Ngt0.nearest.disp.rate","hiquart.t0.Ngt0.nearest.disp.rate","use.corr.dist.func","avg.corr.dist.b","kch.type","ad.surv","fecund"
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl1.mp",439,2.53,3.08,2.78,1.1189,"CE",1.178741301961,1.1189,0.186842,0.09636728,0.1486549454586,0.421692892415748,0.1426015989232,0.282147245669474,2.4950495049505,1.28794558508628,0.125853336269544,3,"M-Juvenile",0,0,0,91,0,0.314,1,0.18,271.771,1.80914276842834,447.901,64.8109377856597,0.0202756264236902,2.762,0.4445,308.95,422,476,495,502,0,0,0,0,FALSE,100,1250,0.0425566666666667,0.005775,0.063235,0.005775,0.0034875,0.0080625,0.0285733333333333,0.003645,0.042465,0.003645,0.0022175,0.0050725,TRUE,845.06451,"LO.KCH",0.6757798,0.443076
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl10.mp",486,3.94,3.36,3.63,0.941,"CE",1.08636144499159,0.941,0.2166749,0.06889835,0.160771569194825,0.907310832879695,0.0981164885645983,0.502713660722147,17.5428571428571,3.37404580152672,0.542757417102967,3,"M-Juvenile",0.954,0,0.954,53.9591836734694,0.999,1,1,1,0.352,0.0993073912554245,0.58,6.5950811287728,-0.99880658436214,0.054,0.263,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.0508466666666667,0.01405,0.074405,0.01405,0.00889,0.01921,0.0334833333333333,0.01007,0.048785,0.01007,0.006475,0.013665,TRUE,714.03699,"ME.KCH",0.7022097,0.23881
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl100.mp",473,2.66,3.56,3.06,1.1534,"CE",1.24334466949749,1.1534,0.1928679,0.1413434,0.169079838499405,0.444358711767328,0.196497414273566,0.320428063020447,11.828125,1.39634253560753,0.165394775462284,3,"M-Juvenile",0,0,0,91,0.001,0.16,1,0.128,360.474,3.21561557209619,683.306,109.598915534262,0.44462156448203,2.996,0.0632,428.9,657.75,740,754,756,0,0,0,0,FALSE,100,1250,0.0349233333333333,0.01062,0.0501,0.01062,0.007595,0.013645,0.0197566666666667,0.008115,0.02817,0.008115,0.0055225,0.0107075,TRUE,610.80481,"HI.KCH",0.7193143,0.4340365
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl11.mp",513,3.37,2.78,3.05,0.9115,"CE",1.17488551654677,0.9115,0.2109107,0.06530693,0.156122257350634,0.778655582186268,0.101941220030432,0.44029840110835,38.7692307692308,3.46132971506106,0.551703163017032,3,"M-Juvenile",0.998,0,0.998,39.4,1,1,1,1,0.008,0.00632265576921407,0.008,0.199939930919204,-0.99998440545809,0.002,0.0447,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.0542866666666667,0.01319,0.079655,0.01319,0.00837,0.01801,0.0328,0.010135,0.04809,0.010135,0.0061775,0.0140925,TRUE,1200.396,"LO.KCH",0.6406332,0.2708652
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl12.mp",523,2.57,2.88,2.71,1.0695,"CE",1.16973864557729,1.0695,0.1560217,0.05537295,0.117066080618155,0.374297180854675,0.0848404075615941,0.229568794208135,3.05314009661836,1.34358475400821,0.146606498194946,3,"M-Juvenile",0,0,0,91,0,0.121,1,0.146,337.965,2.28415567379768,541.19,90.7288687663834,0.0347801147227534,2.987,0.1133,359.95,492.75,572,615,629,0,0,0,0,FALSE,100,1250,0.05216,0.01454,0.076545,0.01454,0.008965,0.020115,0.0362633333333333,0.009305,0.05345,0.009305,0.0055975,0.0130125,TRUE,2369.1521,"ME.KCH",0.6526719,0.4168391
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl13.mp",543,3.33,3.64,3.48,1.0367,"CE",1.01704553694108,1.0367,0.1482886,0.04444112,0.109463514553513,0.476576382298277,0.0612545424598096,0.268915462379044,3.88205128205128,1.58081587651599,0.225051264524949,3,"M-Juvenile",0,0,0,91,0.005,0.244,1,0.309,318.258,3.17507267988034,551.343,162.375827204237,0.0153646408839778,2.919,0.2942,245,450.75,579,689,750,0,0,0,0,FALSE,100,1250,0.03974,0.00838,0.05873,0.00838,0.00507,0.01169,0.02741,0.004485,0.040625,0.004485,0.0027325,0.0062375,TRUE,1359.80896,"HI.KCH",0.7255155,0.3111539
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl14.mp",463,3.03,2.78,2.9,0.9571,"CE",1.08098352944234,0.9571,0.1607902,0.08786091,0.129562779998864,0.508321586110594,0.137115391097861,0.322718488604227,25.9655172413793,3.40498442367601,0.545968882602546,3,"M-Juvenile",0.821,0,0.821,62.5161290322581,0.983,1,1,1,3.327,0.426635780366684,6.01,29.9189412085896,-0.987019438444924,0.222,0.5128,0,0,0,0,28,0,0,0,0,FALSE,100,1250,0.0402833333333333,0.01322,0.05899,0.01322,0.008045,0.018395,0.02841,0.01082,0.041525,0.01082,0.0065,0.01514,TRUE,1784.99695,"HI.KCH",0.6407808,0.3163159
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl15.mp",495,3.15,2.85,3,0.9513,"CE",1.13188683720896,0.9513,0.1468016,0.1265887,0.137068247107508,0.486218118780334,0.194926170127223,0.340572144453779,39.7894736842105,3.63939899833055,0.568909679740914,3,"M-Juvenile",0.879,0,0.879,58.1875,0.994,1,1,1,1.757,0.25997603454653,3.243,16.4868968811226,-0.993448484848485,0.148,0.4408,0,0,0,0,16.0999999999999,0,0,0,0,FALSE,100,1250,0.0399633333333333,0.01122,0.058535,0.01122,0.00702,0.01542,0.0261566666666667,0.00577,0.03846,0.00577,0.00366,0.00788,TRUE,1861.76294,"HI.KCH",0.6494187,0.3019254
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl16.mp",540,2.73,3.89,3.23,1.1711,"CE",1.24183240592545,1.1711,0.1409578,0.1004865,0.122406368427239,0.32909091418475,0.135291659340189,0.232191286762469,2.10299003322259,1.14402589862238,0.0671754472345314,3,"M-Juvenile",0,0,0,91,0,0.017,1,0.023,434.419,2.19324366105473,608.205,45.8680810134439,0.126305555555556,2.997,0.0547,517.95,615,626,629,630,0,0,0,0,FALSE,100,1250,0.0452233333333333,0.01403,0.06567,0.01403,0.00918,0.01888,0.0329666666666667,0.01087,0.0479,0.01087,0.006985,0.014755,TRUE,2741.1189,"ME.KCH",0.7427398,0.4283248
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_NoCC_Ceiling_100/snpl17.mp",529,2.9,2.83,2.87,0.9875,"CE",1.14829466056511,0.9875,0.1624024,0.1082446,0.138006218981102,0.477104184911568,0.167276438374836,0.322190311643202,37.8,2.84972812654474,0.480482794042116,3,"M-Juvenile",0.433,0,0.433,91,0.812,0.996,1,0.996,27.241,1.47547956914319,60.021,117.530864299822,-0.886538752362949,0.821,0.8785,0,0,8,66,301.25,0,0,0,0,FALSE,100,1250,0.0292266666666667,0.00892,0.043225,0.00892,0.005075,0.012765,0.0167866666666667,0.00678,0.024855,0.00678,0.003715,0.009845,TRUE,2327.97803,"HI.KCH",0.6471001,0.3403919
