"","metapop.initab","Gen.Abar","Gen.Mu1","Gen.Tgen","EigenVal","dd.type","Rmax","GrowthRt","fec.stdev.avg","surv.stdev.avg","stdev.avg","fec.cv.avg","surv.cv.avg","cv.avg","N.maxVmin.10","N.plusVmin.SD","N.CV.10","St.First.Rep","St.First.Rep.Name","ext.risk","threshold","prob.thresh.maxt","med.time.cross","prob.50","prob.250","prob.1000","prob.Thr.50","exp.min.n","sderr.ema","n.mean","n.stdev","metapop.chng","occ.maxt","occ.stdev.maxt","quant.05","quant.25","quant.50","quant.75","quant.95","harv.avg","harv.stdev","harv.min","harv.max","use.disp.dist.func","avg.disp.dist.b","max.disp.dist.Dmax","mean.t0.disp.rate","loquart.t0.disp.rate","hiquart.t0.disp.rate","mean.t0.Ngt0.disp.rate","loquart.t0.Ngt0.disp.rate","hiquart.t0.Ngt0.disp.rate","mean.t0.nearest.disp.rate","loquart.t0.nearest.disp.rate","hiquart.t0.nearest.disp.rate","mean.t0.Ngt0.nearest.disp.rate","loquart.t0.Ngt0.nearest.disp.rate","hiquart.t0.Ngt0.nearest.disp.rate","use.corr.dist.func","avg.corr.dist.b","kch.type","ad.surv","fecund"
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl100.mp",581,2.42,2.8,2.6,1.0952,"CE",1.09827594512635,1.0952,0.1579365,0.07740999,0.12437090613172,0.349480436716396,0.120338031610929,0.234909234163662,2.38823529411765,1.28548701094806,0.12491298772669,3,"M-Juvenile",0,0,0,91,0,0.38,1,0.705,260.305,1.58314886707957,354.019,50.3592165317302,-0.390672977624785,2.412,0.6684,249,332,375,389.25,399,0,0,0,0,FALSE,100,1250,0.0552966666666667,0.00968,0.08166,0.00968,0.006125,0.013235,0.0340666666666667,0.00549,0.05011,0.00549,0.003735,0.007245,TRUE,1304.79504,"ME.KCH",0.6432712,0.451918
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl101.mp",524,2.73,3.58,3.1,1.1377,"CE",1.0199918505318,1.1377,0.2156971,0.1252732,0.17637830590332,0.516823217247416,0.173901503493975,0.345362360370695,4.88,1.43339294202866,0.178102325581395,3,"M-Juvenile",0,0,0,91,0.007,0.726,1,0.791,210.091,2.01531342654367,351.904,67.4151584407215,-0.328427480916031,2.698,0.5469,198.9,335,380,395,404,0,0,0,0,FALSE,100,1250,0.045,0.01031,0.06625,0.01031,0.006405,0.014215,0.0319066666666667,0.00534,0.047055,0.00534,0.003475,0.007205,TRUE,2757.7041,"ME.KCH",0.7203687,0.4173518
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl102.mp",564,2.77,3.19,2.97,1.0747,"CE",1.19862884485994,1.0747,0.1608839,0.04834016,0.118786363586136,0.4142649640192,0.0704294887905444,0.242347226404872,2.55497382198953,1.29906492260969,0.130081112398609,3,"M-Juvenile",0,0,0,91,0.003,0.892,1,0.992,202.971,1.31562343549514,276.65,44.2548753697713,-0.509485815602837,2.422,0.68,189,256,298,307,319,0,0,0,0,FALSE,100,1250,0.03921,0.015975,0.05676,0.015975,0.0100425,0.0219075,0.02345,0.011185,0.03367,0.011185,0.0070975,0.0152725,TRUE,2163.96997,"LO.KCH",0.6863625,0.3883599
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl103.mp",578,2.59,2.8,2.69,1.0482,"CE",1.05802169383245,1.0482,0.1678081,0.1109722,0.142257491188426,0.41456710586095,0.172465229448651,0.2935161676548,9.48051948051948,1.71410921670373,0.263109978150036,3,"M-Juvenile",0.01,0,0.01,91,0.088,0.879,1,0.941,159.521,2.51005496651666,307.284,134.469280251407,-0.46836678200692,2.064,0.7928,56.9,210.75,329,438.5,468,0,0,0,0,FALSE,100,1250,0.0451466666666667,0.009635,0.06687,0.009635,0.0056675,0.0136025,0.02871,0.006995,0.042595,0.006995,0.0039675,0.0100225,TRUE,1332.052,"HI.KCH",0.6434468,0.4047791
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl104.mp",617,3.86,4.01,3.94,1.013,"CE",1.20707850096679,1.013,0.2008281,0.1333125,0.1704466902082,0.765690357425948,0.177581605283097,0.471635981354522,34.8095238095238,2.2475884244373,0.384158415841584,3,"M-Juvenile",0.215,0,0.215,91,0.647,0.993,1,1,46.547,1.75416558166209,106.082,130.406192533373,-0.828068071312804,1.471,1.05,0,2,48.5,168.25,410.1,0,0,0,0,FALSE,100,1250,0.0452366666666667,0.006665,0.066275,0.006665,0.0049125,0.0084175,0.0250266666666667,0.00373,0.03651,0.00373,0.002895,0.004565,TRUE,645.9502,"HI.KCH",0.7507112,0.2622837
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl105.mp",426,2.79,3.86,3.25,1.1556,"CE",1.24242108074377,1.1556,0.1701936,0.1449324,0.158068437789965,0.41040292376057,0.195604458784665,0.303003691272618,6.34375,1.4166777320409,0.172417582417582,3,"M-Juvenile",0,0,0,91,0.005,0.643,1,0.444,220.241,2.18298702500756,366.199,59.0938362308666,-0.1403779342723,2.787,0.4559,241,363.75,388,401,406,0,0,0,0,FALSE,100,1250,0.0419066666666667,0.0135,0.062015,0.0135,0.007595,0.019405,0.02295,0.009335,0.033905,0.009335,0.0051875,0.0134825,TRUE,1806.99304,"ME.KCH",0.7409463,0.4146988
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl106.mp",555,2.94,2.85,2.9,0.9847,"CE",1.17204062795625,0.9847,0.1741127,0.09117384,0.138974640495372,0.519495162722004,0.140366155953671,0.329930659337838,10.2881355932203,2.26170009551098,0.386822840409956,3,"M-Juvenile",0.489,0,0.489,91,0.892,1,1,1,15.902,0.898662333688238,32.806,66.6935858864883,-0.94089009009009,0.649,0.7419,0,0,1,33,181.05,0,0,0,0,FALSE,100,1250,0.0479166666666667,0.010465,0.07036,0.010465,0.0067475,0.0141825,0.03147,0.00581,0.045985,0.00581,0.004125,0.007495,TRUE,1002.84698,"ME.KCH",0.6495429,0.3351575
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl107.mp",474,2.47,3.11,2.76,1.1416,"CE",1.06847734231643,1.1416,0.1395101,0.1062272,0.12399049564755,0.301510794709787,0.156481637928507,0.228996216319147,2.29577464788732,1.21586223623575,0.0974168126094571,3,"M-Juvenile",0,0,0,91,0,0.712,1,0.578,225.869,1.20896212861629,299.465,27.9497757587599,-0.368217299578059,2.552,0.6369,236,299,307.5,316,324,0,0,0,0,FALSE,100,1250,0.0457533333333333,0.014345,0.067265,0.014345,0.0085375,0.0201525,0.0306966666666667,0.009125,0.045275,0.009125,0.0053325,0.0129175,TRUE,2892.896,"LO.KCH",0.6788477,0.4627035
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl108.mp",496,2.95,3.28,3.11,1.0513,"CE",1.03417613708698,1.0513,0.1543046,0.03030991,0.111194874489268,0.433248576752063,0.0435998947615384,0.238424235756801,3.655,1.5164198325821,0.205220061412487,3,"M-Juvenile",0,0,0,91,0.001,0.322,1,0.312,277.512,2.11755044234509,394.548,85.0848466363261,-0.204540322580645,2.849,0.3826,220.95,350,420.5,462,482,0,0,0,0,FALSE,100,1250,0.0463866666666667,0.012385,0.06768,0.012385,0.0080925,0.0166775,0.0273733333333333,0.008125,0.040105,0.008125,0.0050175,0.0112325,TRUE,2992.11694,"HI.KCH",0.6951831,0.3561572
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl109.mp",489,2.94,4.09,3.44,1.1441,"CE",1.14727185724339,1.1441,0.1367548,0.105999,0.122347176763585,0.351749981545027,0.140338013915043,0.246043997730035,2.67213114754098,1.20986460348162,0.0949671772428883,3,"M-Juvenile",0,0,0,91,0.001,0.64,1,0.583,230.098,1.32746697305981,300.454,27.308673487514,-0.385574642126789,2.539,0.6316,235.95,299,310,316,322.05,0,0,0,0,FALSE,100,1250,0.04653,0.00942,0.069,0.00942,0.005505,0.013335,0.0250066666666667,0.0054,0.037025,0.0054,0.003185,0.007615,TRUE,736.56281,"LO.KCH",0.7553121,0.3887841
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl10.mp",534,2.72,3.29,2.98,1.102,"CE",1.19352823365172,1.102,0.166473,0.1268277,0.14798399443232,0.410488106366458,0.18210709033023,0.296297598348344,6.03703703703704,1.45987111892209,0.18694927363658,3,"M-Juvenile",0.002,0,0.002,91,0.032,0.974,1,0.994,158.759,1.65387309525707,265.729,62.8657431409242,-0.502380149812734,2.428,0.6894,124.95,235,299,309,321,0,0,0,0,FALSE,100,1250,0.0383333333333333,0.01519,0.05542,0.01519,0.009675,0.020705,0.0246466666666667,0.011265,0.035455,0.011265,0.0071475,0.0153825,TRUE,2414.21802,"LO.KCH",0.6964457,0.4055489
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl110.mp",441,4.08,3.57,3.81,0.9534,"CE",1.07604574436002,0.9534,0.1793416,0.05443327,0.132526205660339,0.767230555131317,0.0756339398274572,0.421432247479387,12.6666666666667,3.12057877813505,0.514631291455326,3,"M-Juvenile",0.868,0,0.868,63.12,0.997,1,1,1,1.497,0.211107928694205,2.52,12.3041046399562,-0.994285714285714,0.158,0.4327,0,0,0,0,14,0,0,0,0,FALSE,100,1250,0.0514133333333333,0.007255,0.07558,0.007255,0.0051675,0.0093425,0.0270966666666667,0.00504,0.039835,0.00504,0.00333,0.00675,TRUE,846.82452,"HI.KCH",0.7196937,0.2337519
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl111.mp",580,2.78,2.79,2.78,1.0022,"CE",1.12449544477388,1.0022,0.1385843,0.09797542,0.120009981107128,0.384032577189317,0.152760712186955,0.268396644688136,7.625,1.8006958250497,0.285891748003549,3,"M-Juvenile",0.213,0,0.213,91,0.649,1,1,1,42.317,1.38724221098983,80.347,85.6686623609282,-0.861470689655172,1.064,0.7338,0,4,50,132.25,265.05,0,0,0,0,FALSE,100,1250,0.0394066666666667,0.013225,0.05767,0.013225,0.0080525,0.0183975,0.0268766666666667,0.009245,0.039395,0.009245,0.0055425,0.0129475,TRUE,2123.229,"LO.KCH",0.6413653,0.360866
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl112.mp",587,3.87,3.8,3.84,0.9932,"CE",1.05330361784476,0.9932,0.2015013,0.05290259,0.147311672874892,0.786025378118677,0.0717978634870501,0.428911620802864,8.48837209302326,2.13787991104522,0.362626978502244,3,"M-Juvenile",0.244,0,0.244,91,0.752,0.999,1,1,34.57,1.44265045674285,66.123,95.8729654099449,-0.887354344122657,1.167,0.9033,0,1,26,87,275.15,0,0,0,0,FALSE,100,1250,0.03096,0.01052,0.044555,0.01052,0.007145,0.013895,0.0187033333333333,0.00647,0.02646,0.00647,0.00483,0.00811,TRUE,2782.7959,"HI.KCH",0.7368268,0.2563547
"/home/mlammens/Projects/SnowyPlover/SampleSize_500_LHS/FLSNPL_2M_Ceiling/snpl113.mp",560,2.78,3.14,2.95,1.0639,"CE",1.05390661734833,1.0639,0.1778872,0.06786193,0.13462744420653,0.464706417119564,0.0996332789178248,0.282169848018694,3.28187919463087,1.41502948410229,0.171852760736196,3,"M-Juvenile",0.001,0,0.001,91,0.033,0.988,1,1,156.769,1.58490238013404,244.924,67.6852385348202,-0.562635714285714,2.252,0.7301,112,203,267,300,314,0,0,0,0,FALSE,100,1250,0.0311666666666667,0.01487,0.04489,0.01487,0.009295,0.020445,0.0190033333333333,0.01126,0.02734,0.01126,0.006795,0.015725,TRUE,1159.67004,"LO.KCH",0.6811171,0.3827948
