"","metapop.initab","Gen.Abar","Gen.Mu1","Gen.Tgen","EigenVal","dd.type","Rmax","GrowthRt","fec.stdev.avg","surv.stdev.avg","stdev.avg","fec.cv.avg","surv.cv.avg","cv.avg","N.maxVmin.10","N.plusVmin.SD","N.CV.10","St.First.Rep","St.First.Rep.Name","ext.risk","threshold","prob.thresh.maxt","med.time.cross","prob.50","prob.250","prob.1000","prob.Thr.50","exp.min.n","sderr.ema","n.mean","n.stdev","metapop.chng","occ.maxt","occ.stdev.maxt","quant.05","quant.25","quant.50","quant.75","quant.95","harv.avg","harv.stdev","harv.min","harv.max","use.disp.dist.func","avg.disp.dist.b","max.disp.dist.Dmax","mean.t0.disp.rate","loquart.t0.disp.rate","hiquart.t0.disp.rate","mean.t0.Ngt0.disp.rate","loquart.t0.Ngt0.disp.rate","hiquart.t0.Ngt0.disp.rate","mean.t0.nearest.disp.rate","loquart.t0.nearest.disp.rate","hiquart.t0.nearest.disp.rate","mean.t0.Ngt0.nearest.disp.rate","loquart.t0.Ngt0.nearest.disp.rate","hiquart.t0.Ngt0.nearest.disp.rate","use.corr.dist.func","avg.corr.dist.b","kch.type","ad.surv","fecund"
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl1000.mp",421,3.68,3.15,3.4,0.9375,"CE",1.12910839921397,0.9375,0.1926424,0.07301666,0.145675198498776,0.755994925039155,0.106951788785309,0.431473356912232,21.3571428571429,3.62470308788599,0.56753980482794,3,"M-Juvenile",0.979,0,0.979,49.0967741935484,1,1,1,1,0.119,0.0366631038400076,0.378,6.70224112040413,-0.999102137767221,0.024,0.1716,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.03298,0.01265,0.047995,0.01265,0.0078,0.0175,0.0208933333333333,0.00743,0.030455,0.00743,0.0046,0.01026,TRUE,658.56897,"ME.KCH",0.6827063,0.2548197
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl100.mp",600,2.58,3.55,3,1.1714,"CE",1.1028825567307,1.1714,0.2133876,0.1207244,0.173361830558402,0.470780150543679,0.168097480732222,0.319438815637951,4.61320754716981,1.27629116293186,0.121377777777778,3,"M-Juvenile",0,0,0,91,0.002,0.871,1,0.999,195.355,1.55153609021487,293.404,39.6051177166455,-0.510993333333333,2.629,0.5654,206.9,289,307,317,324,0,0,0,0,FALSE,100,1250,0.04288,0.010355,0.06328,0.010355,0.0062175,0.0144925,0.0271333333333333,0.00633,0.039945,0.00633,0.00392,0.00874,TRUE,1477.81799,"LO.KCH",0.7181809,0.4532638
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl101.mp",426,2.83,3.04,2.93,1.0371,"CE",1.23083391066073,1.0371,0.1465053,0.08601195,0.120128802688807,0.400399838752656,0.12814108757301,0.264270463162833,9.38461538461539,1.61437451980163,0.234998664173123,3,"M-Juvenile",0.008,0,0.008,91,0.116,1,1,0.97,118.14,1.67274219964299,204.896,81.9161610516596,-0.519023474178404,1.658,0.7166,51,146.5,220,277.25,302,0,0,0,0,FALSE,100,1250,0.0394233333333333,0.01329,0.058165,0.01329,0.007615,0.018965,0.0256466666666667,0.008495,0.037965,0.008495,0.0047525,0.0122375,TRUE,1563.24597,"LO.KCH",0.6712285,0.3658975
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl102.mp",569,3.57,4.16,3.85,1.0551,"CE",1.07493294614335,1.0551,0.2062701,0.06846073,0.153678602456788,0.698320672814224,0.0901107352515334,0.394215704032879,6.17721518987342,1.48728559244401,0.195910591821184,3,"M-Juvenile",0.004,0,0.004,91,0.055,1,1,1,136.235,1.59506928408174,228.039,77.5254259625232,-0.599228471001757,2.328,0.7259,80.95,174.75,249,299,315,0,0,0,0,FALSE,100,1250,0.0355333333333333,0.006235,0.051885,0.006235,0.0045325,0.0079375,0.02463,0.00387,0.036145,0.00387,0.002735,0.005005,TRUE,2008.63501,"LO.KCH",0.75974,0.2953802
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl103.mp",492,2.49,3.2,2.81,1.1478,"CE",1.10662988151409,1.1478,0.172229,0.05614301,0.128091502475496,0.374120113172915,0.0816639616505418,0.227892037411728,1.65040650406504,1.13452716520201,0.0630243397203521,3,"M-Juvenile",0,0,0,91,0,0.02,1,0.014,325.788,0.966153460123447,385.849,24.6705661839334,-0.21575406504065,2.86,0.3641,331,382,395,401,405,0,0,0,0,FALSE,100,1250,0.0331833333333333,0.00842,0.048155,0.00842,0.00583,0.01101,0.02034,0.006205,0.02933,0.006205,0.0042825,0.0081275,TRUE,1541.96704,"ME.KCH",0.6874882,0.4603575
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl104.mp",516,2.78,3.05,2.91,1.0507,"CE",1.14083890674554,1.0507,0.1705409,0.1103738,0.143642915417451,0.450746897464212,0.164154194034672,0.307450545749442,7.76595744680851,1.82374768089054,0.291721419185282,3,"M-Juvenile",0.007,0,0.007,91,0.088,0.846,1,0.871,165.8,2.52834145449354,317.683,133.420934102024,-0.384335271317829,2.523,0.6782,64,220,340,447.25,477,0,0,0,0,FALSE,100,1250,0.05543,0.009615,0.08106,0.009615,0.0068925,0.0123375,0.03088,0.005875,0.04475,0.005875,0.0045075,0.0072425,TRUE,682.71863,"HI.KCH",0.6723788,0.3783518
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl105.mp",467,2.81,3.48,3.12,1.107,"CE",1.13746238249593,1.107,0.1792311,0.1370134,0.159525012124698,0.454842393497288,0.192166354345066,0.323504373921177,8.34246575342466,1.57957124842371,0.224677356276887,3,"M-Juvenile",0.002,0,0.002,91,0.043,0.852,1,0.784,174.245,2.20924052984701,327.482,86.0379230351373,-0.29875374732334,2.571,0.6256,138.7,288,373,387,403,0,0,0,0,FALSE,100,1250,0.05539,0.014175,0.08203,0.014175,0.0081425,0.0202075,0.0316566666666667,0.01007,0.046775,0.01007,0.005745,0.014395,TRUE,1836.56006,"ME.KCH",0.7129937,0.394051
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl106.mp",549,3.14,3.94,3.51,1.0954,"CE",1.08315321774402,1.0954,0.1635913,0.04675516,0.120308267426465,0.46888633287025,0.0626318942402699,0.26575911355526,2.17910447761194,1.23478683958861,0.10506006006006,3,"M-Juvenile",0,0,0,91,0,0.013,1,0.034,363.142,1.35354494565933,447.727,45.4363613632731,-0.184468123861567,2.919,0.2873,352,433,466.5,478,486,0,0,0,0,FALSE,100,1250,0.0420533333333333,0.0113,0.06214,0.0113,0.00659,0.01601,0.0253566666666667,0.008085,0.037495,0.008085,0.0045825,0.0115875,TRUE,790.04102,"HI.KCH",0.7465072,0.3488933
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl107.mp",581,3.34,3.8,3.56,1.0522,"CE",1.20197086029487,1.0522,0.1489897,0.02970457,0.107425071992005,0.472821214574436,0.0403012031110998,0.256561208842768,2.58201058201058,1.30396163696801,0.131929990539262,3,"M-Juvenile",0,0,0,91,0.002,0.936,1,1,192.278,1.35795167393717,261.872,50.8410506227834,-0.549273666092943,2.137,0.7394,159.85,234,280,300,315,0,0,0,0,FALSE,100,1250,0.0519233333333333,0.01378,0.077105,0.01378,0.00767,0.01989,0.0308133333333333,0.01008,0.0457,0.01008,0.00556,0.0146,TRUE,2462.46094,"LO.KCH",0.7370641,0.3151079
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl108.mp",599,3.08,4.05,3.51,1.1158,"CE",1.03849850524252,1.1158,0.1569007,0.1459026,0.151501482413952,0.432727572593932,0.193699064459484,0.313213318526708,10.2816901408451,1.50544662309368,0.201739130434783,3,"M-Juvenile",0,0,0,91,0.01,0.564,1,0.746,233.782,2.77192569309642,415.607,96.3739720748994,-0.306165275459098,2.918,0.2989,196,385,464,481.25,487,0,0,0,0,FALSE,100,1250,0.02987,0.006585,0.04343,0.006585,0.0046675,0.0085025,0.01831,0.003485,0.026755,0.003485,0.0024525,0.0045175,TRUE,722.21289,"HI.KCH",0.7532437,0.3625854
