"","metapop.initab","Gen.Abar","Gen.Mu1","Gen.Tgen","EigenVal","dd.type","Rmax","GrowthRt","fec.stdev.avg","surv.stdev.avg","stdev.avg","fec.cv.avg","surv.cv.avg","cv.avg","N.maxVmin.10","N.plusVmin.SD","N.CV.10","St.First.Rep","St.First.Rep.Name","ext.risk","threshold","prob.thresh.maxt","med.time.cross","prob.50","prob.250","prob.1000","prob.Thr.50","exp.min.n","sderr.ema","n.mean","n.stdev","metapop.chng","occ.maxt","occ.stdev.maxt","quant.05","quant.25","quant.50","quant.75","quant.95","harv.avg","harv.stdev","harv.min","harv.max","use.disp.dist.func","avg.disp.dist.b","max.disp.dist.Dmax","mean.t0.disp.rate","loquart.t0.disp.rate","hiquart.t0.disp.rate","mean.t0.Ngt0.disp.rate","loquart.t0.Ngt0.disp.rate","hiquart.t0.Ngt0.disp.rate","mean.t0.nearest.disp.rate","loquart.t0.nearest.disp.rate","hiquart.t0.nearest.disp.rate","mean.t0.Ngt0.nearest.disp.rate","loquart.t0.Ngt0.nearest.disp.rate","hiquart.t0.Ngt0.nearest.disp.rate","use.corr.dist.func","avg.corr.dist.b","kch.type","ad.surv","fecund"
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl1000.mp",455,3.21,3.56,3.38,1.0445,"CE",1.05974727930664,1.0445,0.2175667,0.08063228,0.164068329556451,0.668908488475089,0.112113661656849,0.390511075065969,5.11764705882353,1.83176049463065,0.293725580326362,3,"M-Juvenile",0.016,0,0.016,91,0.171,0.985,1,0.961,115.728,2.0044789726889,226.867,119.086653080612,-0.501391208791209,2.321,0.7698,24.95,131,228.5,338.25,388,0,0,0,0,FALSE,100,1250,0.0295966666666667,0.005565,0.04271,0.005565,0.0044675,0.0066625,0.01928,0.003235,0.027995,0.003235,0.0025425,0.0039275,TRUE,1410.41199,"ME.KCH",0.7192012,0.3252563
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl100.mp",412,3.9,3.89,3.9,0.9993,"CE",1.09825248763128,0.9993,0.1940355,0.04179949,0.140351296083275,0.757514713202354,0.0562499049593778,0.406882309080866,7.42682926829268,2.22850356294537,0.380517951736315,3,"M-Juvenile",0.198,0,0.198,91,0.693,1,1,0.996,41.489,1.48356288637787,81.643,100.104077726022,-0.801837378640777,1.366,0.9752,0,4,39.5,123,312,0,0,0,0,FALSE,100,1250,0.0462533333333333,0.01082,0.06755,0.01082,0.00724,0.0144,0.02759,0.00694,0.04018,0.00694,0.004675,0.009205,TRUE,1006.27301,"ME.KCH",0.7431033,0.2561475
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl101.mp",601,3.92,3.83,3.88,0.9917,"CE",1.04801300876704,0.9917,0.1674848,0.07138281,0.12873745335864,0.662716386645231,0.0965967430127092,0.37965656482897,6.59459459459459,1.8709604519774,0.303369017632242,3,"M-Juvenile",0.259,0,0.259,91,0.8,1,1,1,26.979,1.05085910752292,49.782,66.6575104523091,-0.917168053244592,1.019,0.8008,0,0,22,70.25,202.1,0,0,0,0,FALSE,100,1250,0.0481,0.009645,0.070555,0.009645,0.0064175,0.0128725,0.02606,0.0056,0.038195,0.0056,0.003695,0.007505,TRUE,2091.91211,"LO.KCH",0.7389774,0.2527247
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl102.mp",562,2.53,3.21,2.83,1.1391,"CE",1.12862774147815,1.1391,0.2100017,0.1428199,0.17958039681282,0.46597427887181,0.207463189130676,0.336718734001243,6.40350877192982,1.49655172413793,0.198895027624309,3,"M-Juvenile",0,0,0,91,0.009,0.578,1,0.694,234.708,2.48904159548692,416.198,87.0949385689222,-0.259434163701068,2.738,0.4996,219,386,454,474,485,0,0,0,0,FALSE,100,1250,0.0508566666666667,0.00698,0.074965,0.00698,0.00481,0.00915,0.0322633333333333,0.004845,0.04746,0.004845,0.0033575,0.0063325,TRUE,1380.02002,"HI.KCH",0.6884108,0.4506723
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl103.mp",481,3.17,2.92,3.04,0.9601,"CE",1.22641621268983,0.9601,0.1894667,0.09097379,0.148616723278126,0.625334629329223,0.138442601595927,0.381888615462575,19.48,2.72741679873217,0.46343537414966,3,"M-Juvenile",0.87,0,0.87,59.0769230769231,0.996,1,1,1,1.693,0.213181137057661,3.483,18.6085461277605,-0.992758835758836,0.151,0.4152,0,0,0,0,19,0,0,0,0,FALSE,100,1250,0.0418433333333333,0.00635,0.06083,0.00635,0.00511,0.00759,0.02195,0.003895,0.031505,0.003895,0.0033675,0.0044225,TRUE,1382.75,"LO.KCH",0.6571228,0.3029845
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl104.mp",499,2.83,3.66,3.2,1.1248,"CE",1.21148559871526,1.1248,0.1754376,0.03573556,0.126600516867574,0.440652508192019,0.0491742136583693,0.244913360925194,1.59477124183007,1.15274697051064,0.0709544468546637,3,"M-Juvenile",0,0,0,91,0,0.387,1,0.373,254.683,0.860272386851734,304.455,22.9306299256865,-0.389869739478958,2.894,0.3238,256,299,312,319,324,0,0,0,0,FALSE,100,1250,0.0439133333333333,0.012405,0.06329,0.012405,0.0087825,0.0160275,0.0256233333333333,0.007725,0.036755,0.007725,0.0055425,0.0099075,TRUE,2576.05811,"LO.KCH",0.7267134,0.3981314
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl105.mp",560,3.2,2.97,3.08,0.9659,"CE",1.1544480151711,0.9659,0.1668255,0.06481249,0.126553163354873,0.552144711291983,0.0976489812940306,0.324896846293007,12.7719298245614,2.54786150712831,0.436280137772675,3,"M-Juvenile",0.685,0,0.685,76.5333333333333,0.967,1,1,1,6.36,0.526341557769701,10.332,28.9883442110808,-0.98155,0.398,0.6527,0,0,0,4,64.05,0,0,0,0,FALSE,100,1250,0.0486133333333333,0.01276,0.070915,0.01276,0.008385,0.017135,0.0312066666666667,0.00823,0.04567,0.00823,0.005255,0.011205,TRUE,1730.64502,"HI.KCH",0.6637293,0.3021409
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl106.mp",575,3.52,3.85,3.68,1.0337,"CE",1.16596641416126,1.0337,0.1890511,0.1049745,0.152905140628855,0.643924781303571,0.141830791243266,0.392877786273419,10.5,1.76778439360702,0.277400362318841,3,"M-Juvenile",0.028,0,0.028,91,0.284,0.989,1,0.997,98.014,2.0421871442971,195.381,124.409523624876,-0.660206956521739,1.984,0.8535,9,83,192,305,382,0,0,0,0,FALSE,100,1250,0.0627633333333333,0.01191,0.09264,0.01191,0.00746,0.01636,0.03516,0.008605,0.051725,0.008605,0.0053175,0.0118925,TRUE,1086.97595,"ME.KCH",0.740139,0.2935919
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl107.mp",502,2.54,3.08,2.79,1.113,"CE",1.18480442504794,1.113,0.1539241,0.09748294,0.128832356478979,0.351360549963226,0.144433228537948,0.247896889250587,5.8015873015873,1.32194434660092,0.138652912621359,3,"M-Juvenile",0,0,0,91,0,0.113,1,0.116,320.934,1.85561551862258,444.561,55.3148805929744,-0.1144203187251,2.928,0.27,322.9,430.75,469,479,486,0,0,0,0,FALSE,100,1250,0.05914,0.011445,0.08691,0.011445,0.0075225,0.0153675,0.0316866666666667,0.00645,0.046345,0.00645,0.00441,0.00849,TRUE,2241.6189,"HI.KCH",0.6749343,0.4380802
"/home/mlammens/Projects/SnowyPlover/SampleSize_1000_LHS/FLSNPL_2M_Ceiling/snpl108.mp",559,3.19,3.41,3.3,1.0287,"CE",1.05727530429303,1.0287,0.14752,0.08585043,0.120690610097026,0.457548795227994,0.121546479721519,0.289547637474757,6.88679245283019,1.73348519362187,0.268333333333333,3,"M-Juvenile",0.006,0,0.006,91,0.099,0.84,1,0.926,160.29,2.57971952988166,277.945,136.846772026285,-0.50278175313059,2.302,0.7479,41.95,172.75,281.5,404,466.05,0,0,0,0,FALSE,100,1250,0.05919,0.01075,0.087295,0.01075,0.006865,0.014635,0.0319333333333333,0.00853,0.04696,0.00853,0.005205,0.011855,TRUE,2575.93994,"HI.KCH",0.7063177,0.3224137
