"samp.slr","part.num","mean_cor","sd_cor"
"lhs.2m","100",0.907619047619048,0.0496535098145097
"lhs.2m","250",0.94702380952381,0.0347289806783792
"lhs.2m","500",0.967857142857143,0.0208355709503671
"lhs.2m","1000",0.990476190476191,0.0166477594947642
"lhs.nocc","100",0.910714285714286,0.0505784356560802
"lhs.nocc","250",0.945238095238095,0.0301169300968417
"lhs.nocc","500",0.953571428571429,0.019656617797188
"lhs.nocc","1000",0.957142857142857,0.0187812056606337
"lhs.relEnds","100",0.938571428571429,0.0353606024093645
"lhs.relEnds","250",0.970238095238095,0.0184821434715758
"lhs.relEnds","500",0.973809523809524,0.0187635458488669
"lhs.relEnds","1000",0.973809523809524,0.0175682092231576
"unif.2m","100",0.902380952380953,0.0492156580125631
"unif.2m","250",0.950595238095238,0.0363246580681291
"unif.2m","500",0.980952380952381,0.0198454465111069
"unif.2m","1000",0.992857142857143,0.0115010926557059
"unif.nocc","100",0.91,0.0445859425561528
"unif.nocc","250",0.943452380952381,0.0391369700482749
"unif.nocc","500",0.961904761904762,0.0236838790073733
"unif.nocc","1000",0.969047619047619,0.0160702037550131
"unif.relEnds","100",0.942619047619048,0.0372401323608822
"unif.relEnds","250",0.966666666666667,0.0192902736587365
"unif.relEnds","500",0.982142857142857,0.0152063422299644
"unif.relEnds","1000",0.990476190476191,0.0122951852260552
