"samp.slr","part.num","mean_cor","sd_cor"
"lhs.2m","100",0.938809523809524,0.0372647264989398
"lhs.2m","250",0.961309523809524,0.0331003105712963
"lhs.2m","500",0.985714285714286,0.0142438819432409
"lhs.2m","1000",0.988095238095238,0.0168358757425368
"lhs.nocc","100",0.955,0.0367447928632174
"lhs.nocc","250",0.983928571428571,0.0173775650269386
"lhs.nocc","500",0.992857142857143,0.0111943415709911
"lhs.nocc","1000",0.990476190476191,0.0122951852260552
"lhs.relEnds","100",0.266904761904762,0.289582105185231
"lhs.relEnds","250",0.482738095238095,0.267423675855896
"lhs.relEnds","500",0.638095238095238,0.131003635446877
"lhs.relEnds","1000",0.788095238095238,0.104358289356041
"unif.2m","100",0.934285714285714,0.0387509702086784
"unif.2m","250",0.9625,0.0331880227106836
"unif.2m","500",0.983333333333333,0.0190789216472864
"unif.2m","1000",0.995238095238095,0.0100389766989472
"unif.nocc","100",0.951904761904762,0.0313795586164371
"unif.nocc","250",0.988690476190476,0.0131933829110195
"unif.nocc","500",0.991666666666667,0.0139795940145809
"unif.nocc","1000",0.997619047619048,0.0075292325242104
"unif.relEnds","100",0.331904761904762,0.328554697693947
"unif.relEnds","250",0.54702380952381,0.204851862852857
"unif.relEnds","500",0.657142857142857,0.145012973151183
"unif.relEnds","1000",0.766666666666667,0.118144724228117
