"samp.slr","part.num","mean_cor","sd_cor"
"lhs.2m","100",0.744761904761905,0.114665874051839
"lhs.2m","250",0.839880952380953,0.0775720847912244
"lhs.2m","500",0.939285714285714,0.045356657717822
"lhs.2m","1000",0.945238095238095,0.0298015608817755
"lhs.nocc","100",0.725476190476191,0.1286620296103
"lhs.nocc","250",0.810119047619048,0.0584425605173028
"lhs.nocc","500",0.913095238095238,0.0579490951181718
"lhs.nocc","1000",0.954761904761905,0.0362829506370236
"lhs.relEnds","100",0.667142857142857,0.181831866912081
"lhs.relEnds","250",0.850595238095238,0.100146340390327
"lhs.relEnds","500",0.905952380952381,0.0701536172660753
"lhs.relEnds","1000",0.942857142857143,0.0301169300968417
"unif.2m","100",0.715952380952381,0.130509110279556
"unif.2m","250",0.851785714285714,0.0748056963274526
"unif.2m","500",0.960714285714286,0.0403432876313292
"unif.2m","1000",0.947619047619048,0.0416950017033767
"unif.nocc","100",0.672142857142857,0.142329271645524
"unif.nocc","250",0.827380952380953,0.0585078126189132
"unif.nocc","500",0.929761904761905,0.0697270178876965
"unif.nocc","1000",0.95,0.0345032779671176
"unif.relEnds","100",0.684047619047619,0.16801335268623
"unif.relEnds","250",0.854761904761905,0.0949017258945598
"unif.relEnds","500",0.858333333333334,0.0815600808215988
"unif.relEnds","1000",0.933333333333333,0.0486657451325584
